,price,superficie,chambres,bains,city
5017,980000.0,670.0,4,3,nabeul
5019,489998.0,130.0,3,3,mahdia
5021,270000.0,75.0,1,1,mahdia
5022,330000.0,80.0,2,1,mahdia
5025,295000.0,115.0,2,1,mahdia
5026,300000.0,245.0,5,3,mahdia
5027,3800000.0,118.5,2,1,mahdia
5028,350000.0,122.0,3,2,mahdia
5029,616000.0,137.0,2,1,mahdia
5042,269999.0,125.0,3,2,ariana
5050,120000.0,98.0,2,1,ben arous
5052,387000.0,162.0,3,2,tunis
5057,104000.0,68.0,1,1,ariana
5060,185000.0,59.0,1,1,ariana
5061,119998.0,100.0,3,1,tunis
5063,110000.0,210.0,2,1,nabeul
5067,270000.0,145.0,3,1,tunis
5078,580000.0,280.0,4,2,nabeul
5090,560000.0,245.0,4,3,tunis
5094,394997.0,150.0,4,2,tunis
5095,2000000.0,54.0,1,1,tunis
5098,185000.0,56.0,1,1,tunis
5104,1650000.0,510.0,3,2,tunis
5111,205000.0,100.0,2,1,nabeul
5114,400000.0,202.0,5,2,nabeul
5118,253000.0,330.0,6,1,monastir
5120,315000.0,126.0,2,2,mahdia
5123,650000.0,500.0,4,2,ariana
5124,280000.0,95.0,2,1,nabeul
5126,440000.0,180.0,7,2,ariana
5127,350000.0,265.0,5,2,ben arous
5128,838000.0,544.0,3,2,ariana
5130,259000.0,110.0,3,2,tunis
5131,250000.0,189.0,3,1,nabeul
5137,275000.0,230.0,3,2,ariana
5151,517000.0,517.0,8,4,ariana
5152,80000.0,300.0,4,1,tunis
5153,150000.0,110.0,5,1,tunis
5157,140000.0,95.0,1,1,nabeul
5158,230000.0,63.0,1,1,tunis
5162,310000.0,74.0,2,1,tunis
5163,899000.0,490.0,4,2,nabeul
5164,398000.0,105.0,2,1,nabeul
5166,545000.0,250.0,8,2,tunis
5167,425000.0,180.0,3,2,sousse
5171,382000.0,132.0,2,2,mahdia
5172,383000.0,123.08,2,2,mahdia
5174,438000.0,120.0,2,2,mahdia
5176,285000.0,130.0,3,1,mahdia
5177,185000.0,60.0,1,1,mahdia
5187,650000.0,85.0,3,1,sousse
5190,335000.0,80.0,1,1,nabeul
5198,800000.0,300.0,4,3,sousse
5200,370000.0,100.0,2,1,sousse
5201,293000.0,61.5,0,1,sousse
5207,270000.0,238.0,5,2,nabeul
5208,290000.0,120.0,2,1,nabeul
5209,220000.0,120.0,2,1,nabeul
5216,289000.0,82.0,1,1,sousse
5218,239000.0,80.0,2,1,tunis
5220,290000.0,110.0,3,2,ariana
5222,330000.0,100.0,2,2,nabeul
5225,330000.0,535.0,2,4,nabeul
5234,155000.0,133.0,2,1,nabeul
5245,450000.0,126.0,5,2,ben arous
5247,335000.0,114.0,3,1,tunis
5274,560000.0,245.0,4,3,ariana
5275,550000.0,210.0,3,2,tunis
5288,280000.0,61.0,3,1,ariana
5293,450000.0,287.0,4,2,ariana
5296,300000.0,100.0,2,1,tunis
5297,145000.0,80.0,3,1,ariana
5302,80000.0,120.0,2,1,ben arous
5303,150000.0,88.0,2,1,ariana
5307,295000.0,113.5,2,2,sousse
5317,310000.0,120.0,3,2,mahdia
5318,275000.0,342.0,2,1,monastir
5319,280000.0,200.0,3,1,monastir
5326,650000.0,150.0,1,2,nabeul
5327,250000.0,101.0,2,1,sousse
5333,100000.0,85.0,2,1,nabeul
5337,650000.0,500.0,8,4,ariana
5339,185000.0,153.0,2,1,tunis
5349,290000.0,100.0,6,2,sousse
5350,680000.0,300.0,4,2,nabeul
5352,210000.0,130.0,3,1,ariana
5358,260000.0,60.0,1,1,tunis
5368,2000000.0,110.0,2,1,nabeul
5373,800000.0,280.0,6,4,ariana
5375,224900.0,79.0,1,1,tunis
5379,690000.0,243.0,5,1,nabeul
5380,410000.0,109.0,2,1,nabeul
5385,254999.0,151.0,2,1,ben arous
5389,480000.0,500.0,3,1,sousse
5392,980000.0,408.0,3,1,sousse
5393,520000.0,436.0,4,2,sousse
5395,295000.0,99.0,2,1,sousse
5396,270000.0,156.0,2,1,sousse
5398,275000.0,130.0,1,1,tunis
5400,750000.0,192.0,4,3,sousse
5407,400000.0,67.0,2,1,sousse
5408,95000.0,69.0,2,1,ben arous
5409,150000.0,100.0,3,1,tunis
5412,275000.0,126.0,3,1,ariana
5419,390000.0,246.0,3,1,tunis
5424,165000.0,60.0,1,1,ariana
5427,225000.0,200.0,4,2,ariana
5434,415000.0,700.0,4,2,sfax
5436,220000.0,200.0,4,2,ariana
5450,370000.0,299.0,5,2,ben arous
5451,170000.0,54.0,1,1,ben arous
5456,335000.0,118.0,2,2,tunis
5459,260000.0,140.0,3,1,nabeul
5460,125000.0,80.0,1,1,nabeul
5466,880000.0,443.0,8,4,tunis
5467,1100000.0,350.0,4,2,sousse
5468,540000.0,345.0,4,1,manouba
5469,890000.0,400.0,9,5,tunis
5475,1600000.0,575.0,5,3,tunis
5476,890000.0,500.0,4,3,tunis
5481,375000.0,122.0,2,1,sousse
5482,680000.0,227.0,4,2,tunis
5483,290000.0,143.0,3,1,tunis
5489,260000.0,110.0,2,1,mahdia
5490,175000.0,97.0,2,1,monastir
5501,1560000.0,312.0,3,3,tunis
5503,180000.0,256.0,2,1,nabeul
5504,320000.0,104.0,2,1,nabeul
5516,109000.0,62.0,2,1,ben arous
5517,499000.0,90.0,6,3,bizerte
5518,80000.0,150.0,2,1,ariana
5522,450000.0,120.0,3,2,nabeul
5525,235000.0,71.0,3,1,bizerte
5531,280000.0,450.0,3,2,sfax
5536,2500000.0,117.0,2,1,ben arous
5538,392200.0,106.0,2,1,nabeul
5539,950000.0,420.0,4,4,nabeul
5547,760000.0,500.0,4,3,nabeul
5550,260000.0,120.0,2,2,bizerte
5558,1180000.0,452.0,5,2,ariana
5561,700000.0,378.0,6,1,ben arous
5580,700000.0,480.0,3,3,nabeul
5582,230000.0,221.0,2,2,nabeul
5584,230000.0,220.0,2,2,nabeul
5592,375000.0,110.0,0,1,tunis
5594,270000.0,122.0,3,1,tunis
5604,3700000.0,100.0,3,1,nabeul
5606,264993.0,90.0,2,1,tunis
5607,320000.0,110.0,2,2,nabeul
5619,650000.0,230.0,4,2,nabeul
5629,92000.0,77.0,2,1,sousse
5630,670000.0,550.0,3,1,nabeul
5631,510000.0,395.0,3,2,ben arous
5634,240000.0,68.0,1,1,nabeul
5637,1980000.0,659.0,6,5,tunis
5644,400000.0,98.0,1,2,nabeul
5646,520000.0,420.0,3,2,medenine
5647,1200000.0,570.0,4,2,medenine
5648,578999.0,650.0,4,2,medenine
5650,300000.0,190.0,2,1,medenine
5651,420000.0,290.0,2,2,medenine
5653,440000.0,390.0,2,2,medenine
5661,330000.0,104.0,3,2,nabeul
5669,460000.0,155.0,4,1,sousse
5674,145000.0,129.0,4,1,mahdia
5677,290000.0,285.0,10,3,sousse
5683,255000.0,100.0,2,2,monastir
5686,320000.0,500.0,4,2,tunis
5693,280000.0,118.0,4,1,tunis
5696,320000.0,180.0,5,1,tunis
5699,133000.0,63.0,1,1,monastir
5702,225000.0,144.0,3,2,ariana
5707,1120000.0,480.0,7,5,tunis
5716,950000.0,579.0,7,3,tunis
5722,208700.0,72.0,1,1,tunis
5724,250000.0,373.0,0,2,tunis
5734,250000.0,240.0,2,1,nabeul
5740,460000.0,170.0,4,2,ben arous
5745,3000000.0,97.0,2,1,nabeul
5748,650000.0,457.0,4,3,nabeul
5754,268000.0,66.0,1,1,nabeul
5777,400000.0,130.0,3,2,tunis
5784,169999.0,100.0,2,1,nabeul
5789,150000.0,78.0,2,2,nabeul
5799,690000.0,300.0,4,2,nabeul
5804,2900000.0,252.0,3,2,mahdia
5813,376000.0,102.0,2,1,ariana
5814,474999.0,256.0,4,2,sousse
5815,470000.0,200.0,1,2,sousse
5818,510000.0,363.0,3,2,mahdia
5821,200000.0,102.0,3,1,ariana
5823,449998.0,136.0,4,2,nabeul
5828,245000.0,65.0,1,1,nabeul
5829,430000.0,112.0,2,2,ariana
5830,500000.0,110.0,2,2,nabeul
5831,570000.0,409.0,4,1,nabeul
5833,350000.0,91.0,2,1,tunis
5836,210000.0,53.5,1,1,nabeul
5848,440000.0,426.0,2,1,nabeul
5849,980000.0,634.0,5,4,ariana
5850,340000.0,136.0,3,2,ariana
5859,75000.0,100.0,3,1,bizerte
5861,1300000.0,375.0,10,4,nabeul
5871,120000.0,70.0,2,1,sfax
5874,260000.0,103.0,2,1,ben arous
5884,120000.0,195.0,3,1,bizerte
5888,2400000.0,131.0,3,2,ben arous
5895,220000.0,274.0,3,2,sousse
5903,375000.0,484.0,2,2,sousse
5909,365000.0,155.0,3,3,ariana
5910,320000.0,150.0,3,2,ariana
5918,120000.0,56.0,1,1,tunis
5924,150000.0,85.0,2,1,ben arous
5933,190000.0,54.0,1,1,tunis
5935,175000.0,66.0,1,1,monastir
5949,225000.0,100.0,3,1,tunis
5963,870000.0,170.0,5,3,tunis
5974,450000.0,300.0,3,1,tunis
5982,180000.0,110.0,3,1,ben arous
5997,490000.0,190.0,4,1,tunis
5998,235000.0,170.0,4,1,tunis
5999,590000.0,180.0,3,3,tunis
6003,650000.0,498.0,7,2,ben arous
6005,155000.0,100.0,4,1,ben arous
6007,270000.0,90.0,3,1,ben arous
6011,540000.0,184.0,3,1,ben arous
6016,300000.0,160.0,3,2,ben arous
6017,1400000.0,250.0,4,4,sfax
6018,190000.0,117.0,1,1,tunis
6024,272000.0,147.0,3,2,ben arous
6025,165000.0,100.0,3,1,ben arous
6029,295000.0,84.0,1,1,tunis
6031,900000.0,300.0,4,4,nabeul
6034,235000.0,100.0,2,2,ben arous
6054,475000.0,127.0,2,1,sousse
6057,225000.0,100.0,2,1,sousse
6065,600000.0,337.0,2,1,bizerte
6069,210000.0,45.0,1,1,nabeul
6070,320000.0,120.0,3,2,nabeul
6071,405000.0,109.0,2,1,nabeul
6073,490000.0,400.0,7,4,bizerte
6076,210000.0,122.0,2,1,bizerte
6077,270000.0,95.0,3,1,bizerte
6087,270000.0,110.0,0,1,ariana
6110,325000.0,85.0,2,1,nabeul
6114,225000.0,80.0,1,1,sousse
6116,270000.0,120.0,2,2,tunis
6117,400000.0,137.0,3,1,ben arous
6119,220000.0,90.0,3,1,ben arous
6124,295000.0,110.0,2,1,sousse
6126,309998.0,70.0,2,1,nabeul
6130,700000.0,300.0,2,3,nabeul
6138,530000.0,100.0,2,2,tunis
6156,320000.0,434.0,4,2,sousse
6163,150000.0,70.0,1,1,bizerte
6167,1599000.0,200.0,4,2,tunis
6168,95000.0,80.0,2,1,sousse
6172,299000.0,100.0,3,2,tunis
6174,170000.0,85.0,5,2,tunis
6181,820000.0,337.0,4,4,nabeul
6182,559998.0,135.0,2,1,nabeul
6183,370000.0,170.0,2,1,nabeul
6186,310000.0,140.0,3,2,tunis
6187,300000.0,111.0,2,2,sousse
6200,300000.0,120.0,2,1,ariana
6208,330000.0,182.0,3,2,nabeul
6210,139999.0,73.0,0,1,ben arous
6211,160000.0,100.0,2,1,ben arous
6218,240000.0,120.0,2,1,nabeul
6224,255000.0,65.0,1,1,tunis
6228,790000.0,500.0,3,3,nabeul
6230,980000.0,635.0,4,3,nabeul
6231,380000.0,107.0,3,1,tunis
6232,800000.0,500.0,4,2,tunis
6233,750000.0,470.0,6,2,tunis
6239,650000.0,161.0,4,2,sousse
6245,350000.0,294.0,3,1,tunis
6247,345000.0,133.0,2,1,tunis
6251,420000.0,120.0,3,2,sousse
6253,270000.0,104.0,2,1,ben arous
6256,260000.0,110.0,2,1,ben arous
6257,120000.0,90.0,3,1,ben arous
6258,305000.0,140.0,2,1,ben arous
6259,750000.0,314.0,3,2,sousse
6263,240000.0,100.0,3,2,ben arous
6266,430000.0,186.0,3,2,ben arous
6267,400000.0,200.0,7,3,ben arous
6269,235000.0,90.0,2,1,ben arous
6277,1190000.0,230.0,3,3,tunis
6280,600000.0,103.0,2,1,tunis
6287,680000.0,400.0,6,3,tunis
6293,120000.0,100.0,4,2,manouba
6306,290000.0,145.0,3,2,sfax
6314,200000.0,57.4,1,1,sousse
6330,520000.0,416.0,6,1,bizerte
6331,380000.0,100.0,3,2,sousse
6334,410000.0,165.0,2,2,sousse
6335,253800.0,116.0,1,1,sousse
6340,330000.0,243.0,2,2,bizerte
6342,250000.0,137.0,4,1,bizerte
6344,410000.0,113.0,3,1,tunis
6345,190000.0,75.0,3,1,bizerte
6346,1480000.0,465.0,4,3,ariana
6349,350000.0,250.0,3,3,nabeul
6364,800000.0,413.0,8,3,ben arous
6368,175000.0,100.0,2,1,nabeul
6377,252000.0,134.0,3,1,tunis
6381,135000.0,128.0,1,1,tunis
6385,235000.0,40.0,1,1,sousse
6389,128000.0,100.0,2,1,sousse
6390,365000.0,92.0,2,1,sousse
6391,485000.0,124.0,2,1,sousse
6394,640000.0,500.0,2,2,tunis
6397,1150000.0,450.0,7,5,tunis
6398,380000.0,218.0,3,3,bizerte
6407,137998.0,100.0,2,1,nabeul
6410,387000.0,88.0,2,1,tunis
6412,3000000.0,420.0,5,2,nabeul
6422,195000.0,100.0,2,1,nabeul
6423,500000.0,208.0,4,2,tunis
6426,170000.0,160.0,4,2,tunis
6429,395000.0,190.0,3,3,tunis
6439,1500000.0,673.0,5,3,ariana
6441,180000.0,400.0,3,1,nabeul
6445,450000.0,345.0,3,1,ben arous
6447,168000.0,200.0,4,1,ben arous
6452,449000.0,336.0,7,4,tunis
6453,150000.0,100.0,3,1,ben arous
6456,250000.0,115.0,3,2,ariana
6459,279000.0,110.0,2,2,ariana
6462,160000.0,90.0,2,1,bizerte
6465,169000.0,122.0,3,2,sousse
6466,330000.0,68.0,2,1,sousse
6471,381000.0,123.0,2,2,tunis
6473,360000.0,265.0,1,1,ariana
6478,430000.0,155.0,3,3,sousse
6484,190000.0,100.0,2,1,sousse
6488,363600.0,87.8,2,1,mahdia
6492,482000.0,384.0,6,3,tunis
6494,560000.0,185.0,3,1,nabeul
6501,220000.0,95.0,5,1,tunis
6506,189000.0,130.0,3,2,sfax
6507,250000.0,300.0,2,1,ariana
6513,94000.0,78.0,3,1,ben arous
6530,1000000.0,95.0,2,1,sousse
6534,150000.0,73.0,3,1,tunis
6539,440000.0,181.0,2,2,ariana
6547,1850000.0,616.0,6,3,ariana
6548,335000.0,123.0,3,2,ariana
6569,210000.0,88.0,2,1,ben arous
6575,200001.0,85.0,2,1,sousse
6576,200000.0,85.0,2,1,tunis
6583,330001.0,102.0,2,2,nabeul
6587,350000.0,150.0,3,2,tunis
6588,1111000.0,218.0,7,5,ariana
6608,1000000.0,284.0,5,3,tunis
6609,190000.0,82.0,2,2,tunis
6610,450000.0,140.0,3,1,tunis
6614,750000.0,300.0,4,3,nabeul
6615,630000.0,126.0,3,2,tunis
6618,230000.0,90.0,2,1,mahdia
6619,470000.0,118.0,2,1,mahdia
6623,240000.0,105.0,2,1,mahdia
6628,299000.0,118.0,3,2,ben arous
6629,219000.0,100.0,2,1,ariana
6630,310000.0,125.0,2,1,tunis
6643,350000.0,204.0,3,1,nabeul
6644,159999.0,100.0,2,2,monastir
6651,749999.0,300.0,6,2,sfax
6656,350000.0,50.0,1,1,sousse
6657,300000.0,650.0,5,2,sfax
6658,520000.0,231.0,4,2,tunis
6670,1269000.0,500.0,5,3,ariana
6671,220000.0,140.0,3,1,ben arous
6674,1300000.0,115.0,4,1,tunis
6676,210000.0,110.0,3,1,sfax
6677,320000.0,250.0,4,2,monastir
6686,210000.0,168.0,4,1,tunis
6688,200000.0,90.0,5,1,tunis
6699,220000.0,200.0,4,1,tunis
6700,300000.0,170.0,5,1,tunis
6701,700000.0,120.0,3,2,ariana
6708,1300000.0,580.0,7,2,ben arous
6711,580000.0,424.0,3,1,ben arous
6717,630000.0,220.0,3,1,ben arous
6722,250000.0,108.0,3,1,ben arous
6723,110000.0,75.0,2,1,ben arous
6726,800000.0,485.0,6,2,ben arous
6730,285000.0,112.0,2,1,ariana
6733,590000.0,170.0,3,2,ben arous
6737,469997.0,145.0,3,2,nabeul
6742,350000.0,480.0,6,1,tunis
6749,320000.0,100.0,2,1,tunis
6751,270000.0,73.0,2,2,tunis
6753,450000.0,145.0,3,1,sousse
6755,256500.0,50.0,1,1,sousse
6758,290000.0,136.0,2,2,ariana
6759,1380000.0,530.0,3,4,tunis
6760,380000.0,175.0,4,2,tunis
6766,205000.0,400.0,3,1,sfax
6791,180000.0,100.0,5,2,ben arous
6799,250000.0,61.0,2,1,tunis
6800,235000.0,130.0,2,1,tunis
6802,690000.0,537.0,3,3,nabeul
6803,255000.0,81.0,2,2,ben arous
6804,750000.0,203.0,3,3,nabeul
6805,250000.0,135.0,2,1,tunis
6806,4000000.0,125.0,4,2,ben arous
6807,2000000.0,156.0,3,2,tunis
6808,560000.0,485.0,6,3,monastir
6809,380000.0,125.0,3,2,tunis
6810,229000.0,85.0,2,1,tunis
6812,720000.0,180.0,6,5,tunis
6814,240000.0,100.0,2,1,monastir
6815,190000.0,56.0,1,1,monastir
6816,250000.0,110.0,3,2,tunis
6818,176003.0,80.0,2,1,tunis
6834,180000.0,106.0,2,1,sousse
6835,730000.0,500.0,6,2,tunis
6836,670000.0,325.0,8,2,tunis
6837,495000.0,615.0,3,2,tunis
6839,580000.0,219.0,8,3,bizerte
6841,490000.0,440.0,3,2,nabeul
6845,165000.0,116.0,3,1,tunis
6852,500000.0,145.0,4,2,tunis
6854,290000.0,100.0,1,1,nabeul
6855,65000.0,70.0,2,1,sfax
6861,245000.0,100.0,2,1,ariana
6867,170000.0,115.0,2,1,sousse
6875,185000.0,58.0,1,1,tunis
6880,360000.0,227.0,4,1,ariana
6882,650000.0,235.0,1,2,ariana
6892,365000.0,281.0,4,1,sfax
6907,750000.0,470.0,4,2,bizerte
6910,320000.0,80.0,3,2,ben arous
6925,610000.0,400.0,6,2,tunis
6927,180000.0,100.0,4,1,tunis
6930,280000.0,280.0,3,1,ben arous
6935,220000.0,132.0,3,1,ben arous
6938,185000.0,90.0,2,1,ariana
6942,250000.0,95.0,3,1,tunis
6949,260000.0,90.0,2,1,tunis
6954,290000.0,63.0,1,1,tunis
6956,195000.0,75.0,1,1,ariana
6957,390000.0,96.0,2,1,mahdia
6961,280000.0,57.0,1,1,ariana
6962,1450000.0,600.0,6,3,ariana
6965,430000.0,329.0,5,1,tunis
6967,179998.0,100.0,2,1,nabeul
6969,220000.0,110.0,2,1,nabeul
6972,470000.0,316.0,3,2,bizerte
6986,329999.0,200.0,3,1,nabeul
