price,superficie,bains,chambres
430000.0,132.0,0,3
330000.0,90.0,1,2
210000.0,160.0,1,2
315000.0,41.0,1,1
160000.0,124.0,1,3
265000.0,105.0,1,2
300000.0,92.7,1,2
350000.0,92.0,1,2
240000.0,100.0,1,2
160000.0,51.0,1,1
130000.0,75.0,1,3
420000.0,135.0,2,4
450000.0,126.0,2,2
400000.0,120.0,2,2
560000.0,121.0,2,2
280000.0,130.0,1,0
620000.0,165.0,3,3
250000.0,190.0,1,3
275000.0,68.0,1,1
95000.0,50.0,1,1
450000.0,190.0,3,4
395000.0,176.0,3,4
274000.0,65.0,1,1
200000.0,56.0,1,1
227000.0,57.0,1,1
420000.0,300.0,2,2
350000.0,99.0,1,2
108000.0,82.0,1,1
259000.0,114.0,1,3
355000.0,116.0,2,2
241000.0,64.0,1,1
193000.0,47.0,1,1
279000.0,134.0,2,3
360000.0,106.0,2,2
233000.0,83.0,1,2
611000.0,130.0,2,2
333000.0,58.0,1,1
381002.0,125.0,2,0
234000.0,60.0,0,1
330000.0,117.0,2,2
175000.0,100.0,1,2
950000.0,300.0,4,4
700000.0,507.0,-2,-4
680000.0,300.0,2,4
230000.0,90.0,2,2
270000.0,72.0,1,2
160000.0,65.0,1,1
420000.0,110.0,3,2
545000.0,400.0,2,3
235000.0,56.0,1,1
120000.0,100.0,1,2
412000.0,112.0,1,2
350000.0,180.0,2,3
1399999.0,340.0,2,4
370000.0,100.0,2,4
235000.0,126.0,1,2
250000.0,100.0,2,2
125000.0,80.0,1,2
295000.0,113.0,2,2
360000.0,122.0,2,3
178000.0,150.0,1,1
686000.0,130.0,2,3
693494.0,162.0,2,3
86000.0,107.0,2,3
1350000.0,300.0,3,4
256000.0,63.0,1,1
445000.0,157.0,2,4
850000.0,305.0,3,4
850000.0,291.0,4,12
280000.0,296.0,2,4
355000.0,147.0,3,3
430000.0,130.0,2,3
300000.0,150.0,2,4
368000.0,155.0,2,3
430000.0,145.0,2,4
430000.0,350.0,1,5
950000.0,580.0,3,7
190000.0,100.0,1,2
1050000.0,420.0,4,4
890000.0,485.0,4,4
930000.0,510.0,3,4
370000.0,130.0,2,2
220000.0,306.0,1,4
418000.0,110.0,1,2
230000.0,110.0,0,2
120000.0,100.0,2,2
230000.0,90.0,1,2
390000.0,300.0,2,4
215000.0,73.0,1,1
297000.0,93.0,1,2
325000.0,135.0,1,2
240000.0,90.0,1,2
270000.0,94.0,1,2
170001.0,100.0,2,1
310000.0,260.0,3,5
325000.0,135.0,1,3
297000.0,93.0,1,2
325000.0,135.0,1,3
180000.0,94.0,1,2
220000.0,75.0,1,2
440000.0,388.0,3,4
675000.0,423.0,3,7
500000.0,211.0,2,2
405000.0,176.0,2,4
200000.0,80.0,1,2
145000.0,73.0,1,1
180000.0,70.0,2,2
850000.0,404.0,3,6
700000.0,170.0,2,3
165000.0,110.0,1,2
350000.0,270.0,0,2
350000.0,200.0,4,4
199997.0,117.0,1,2
190000.0,115.0,1,3
180000.0,90.0,2,2
280000.0,69.0,1,1
280000.0,67.5,1,1
495000.0,350.0,5,5
315000.0,104.0,1,2
235600.0,62.0,1,1
235600.0,62.0,1,1
300000.0,156.0,2,3
285000.0,60.0,1,2
650000.0,465.0,1,3
480000.0,85.0,1,1
260000.0,100.0,1,2
320000.0,131.0,2,4
460000.0,183.0,2,4
449996.0,252.0,2,1
450000.0,186.0,2,8
364999.0,105.0,1,0
180000.0,105.0,1,2
380000.0,168.0,2,2
620000.0,157.4,3,3
215000.0,67.89,1,1
360000.0,150.0,2,3
580000.0,486.0,2,5
230000.0,100.0,1,2
340000.0,133.0,3,3
180000.0,90.0,1,2
230640.0,76.0,1,2
349000.0,115.0,2,4
290000.0,90.0,1,1
880000.0,310.0,3,4
65000.0,70.0,1,2
297000.0,120.0,2,3
295000.0,140.0,1,1
1050000.0,230.0,5,2
980000.0,515.0,2,6
220000.0,104.0,1,2
270000.0,160.0,1,3
480000.0,294.0,2,4
121000.0,45.0,1,0
185000.0,65.0,1,1
98000.0,115.0,2,3
140000.0,110.0,1,2
285000.0,125.0,1,4
70000.0,75.0,1,2
190000.0,120.0,1,2
320000.0,100.0,1,3
270000.0,103.0,1,2
290000.0,100.0,1,2
365000.0,100.0,0,4
380000.0,120.0,1,3
150000.0,60.0,1,2
160000.0,90.0,0,2
219999.0,61.0,1,-1
120000.0,40.0,1,1
785000.0,204.0,0,3
385000.0,102.0,0,2
285000.0,57.0,0,1
230000.0,55.0,0,1
349000.0,120.0,1,2
475000.0,146.0,3,3
540000.0,167.0,3,2
550000.0,175.0,3,3
420000.0,160.0,3,3
320000.0,118.0,2,2
300000.0,116.0,1,2
370000.0,128.0,1,2
447000.0,160.0,3,3
375000.0,140.0,2,3
395000.0,134.0,2,3
425000.0,123.0,2,2
365000.0,116.0,2,2
510000.0,150.0,3,3
458000.0,122.0,1,2
294998.0,97.0,2,2
620000.0,535.0,0,0
630000.0,286.0,2,4
240000.0,90.0,1,2
80000.0,70.0,1,1
280000.0,69.0,1,1
1600000.0,491.0,2,8
168000.0,120.0,1,2
230000.0,91.0,1,2
280000.0,269.0,1,4
320000.0,106.0,2,4
320000.0,106.0,2,4
607000.0,113.0,2,3
400000.0,452.0,2,1
370000.0,120.0,2,3
215000.0,66.0,1,2
720000.0,300.0,0,0
529999.0,300.0,4,4
450000.0,250.0,3,7
120000.0,100.0,1,2
160000.0,128.0,1,3
490000.0,499.0,2,3
350000.0,86.0,1,2
170000.0,131.0,1,2
125000.0,97.0,1,2
245000.0,450.0,2,3
865000.0,330.0,2,4
135000.0,200.0,0,0
260000.0,420.0,3,2
950000.0,220.0,3,3
370000.0,91.0,1,2
590000.0,530.0,1,3
1450000.0,130.0,1,3
290000.0,120.0,1,3
300000.0,92.0,1,2
515000.0,111.0,1,2
180000.0,175.0,1,3
160000.0,102.0,1,2
175000.0,51.0,1,1
125000.0,90.0,1,2
169999.0,101.0,2,3
159998.0,100.0,2,2
179000.0,43.0,1,1
205000.0,95.0,1,2
390000.0,140.0,1,4
200000.0,95.0,1,3
335000.0,65.0,1,1
450000.0,200.0,2,4
700000.0,368.0,2,7
415000.0,97.0,1,2
350000.0,143.0,2,3
260000.0,71.0,1,2
125000.0,100.0,1,4
370000.0,317.0,2,7
525000.0,161.0,2,3
249000.0,103.0,1,2
85000.0,80.0,1,2
114000.0,60.0,1,1
392000.0,134.0,2,3
420000.0,149.0,3,4
240000.0,116.0,1,2
297000.0,119.0,0,2
960000.0,180.0,0,3
540000.0,151.0,0,3
380000.0,105.0,1,2
150000.0,156.0,1,3
410000.0,200.0,2,3
220000.0,118.0,1,2
1300000.0,400.0,3,7
365000.0,160.0,3,9
800000.0,225.0,2,5
155000.0,100.0,1,3
620000.0,325.0,3,6
215000.0,63.0,1,1
560000.0,472.0,2,4
310000.0,260.0,3,5
235000.0,90.0,1,2
240000.0,100.0,1,2
297000.0,93.0,1,2
265000.0,88.0,0,1
890000.0,285.0,4,4
569000.0,125.0,2,2
650000.0,156.0,2,3
270000.0,94.0,1,2
398000.0,102.0,1,1
325000.0,135.0,1,3
325000.0,135.0,1,3
270000.0,94.0,1,2
175000.0,90.0,1,2
199000.0,85.0,1,2
190000.0,100.0,1,2
215000.0,125.0,2,2
270000.0,94.0,1,2
327597.0,84.0,1,1
185000.0,100.0,1,2
1000000.0,400.0,4,6
350000.0,100.0,2,3
200000.0,67.0,0,2
506000.0,156.0,1,3
335000.0,110.0,2,3
85000.0,90.0,1,2
235000.0,94.0,2,2
160000.0,54.0,1,1
171000.0,68.0,1,1
450000.0,138.0,2,3
450000.0,138.0,2,3
115000.0,50.0,1,1
1300000.0,292.0,5,7
180000.0,54.0,1,1
280000.0,92.0,1,1
890000.0,315.0,2,2
350000.0,116.0,2,2
260000.0,65.0,1,1
90000.0,45.0,1,1
257400.0,66.0,1,3
200000.0,100.0,1,2
650000.0,425.0,3,7
680000.0,124.0,2,2
264000.0,69.5,1,1
170000.0,89.5,1,2
240000.0,82.0,1,2
200000.0,120.0,1,2
570002.0,554.0,3,4
280000.0,120.0,2,4
800000.0,413.0,2,8
435000.0,210.0,0,4
650000.0,520.0,2,6
750000.0,597.0,2,3
480000.0,185.0,4,4
790000.0,418.0,4,7
1450000.0,497.0,7,7
271000.0,90.0,1,2
187000.0,113.0,1,2
380000.0,310.0,2,4
366000.0,140.0,2,3
267000.0,67.0,1,2
235000.0,56.0,1,1
630000.0,160.0,2,4
180000.0,150.0,1,3
185000.0,95.0,1,2
260000.0,89.0,1,2
950000.0,400.0,3,4
350000.0,91.0,0,2
490000.0,192.0,0,2
359999.0,116.0,0,2
490000.0,104.0,0,2
380000.0,110.0,0,2
240000.0,117.0,1,2
260000.0,64.0,1,1
670000.0,354.0,2,3
340000.0,156.0,2,3
135000.0,61.0,1,1
180000.0,45.0,1,1
330000.0,230.0,2,4
390000.0,120.0,2,2
325000.0,120.0,1,2
360000.0,103.0,2,2
295000.0,72.0,1,1
500000.0,200.0,2,4
620000.0,560.0,1,1
280000.0,118.0,1,2
480000.0,105.0,2,2
244000.0,46.0,1,1
600000.0,270.0,3,3
250000.0,109.0,1,2
860000.0,160.0,3,3
529996.0,300.0,2,4
295000.0,200.0,3,6
480000.0,125.4,2,2
95000.0,85.0,1,2
530000.0,118.0,1,2
275000.0,81.0,1,1
325000.0,89.0,2,2
317000.0,152.0,2,3
495000.0,129.0,2,3
175000.0,80.0,1,2
244999.0,145.0,1,3
190000.0,101.0,1,4
85000.0,160.0,2,3
345000.0,75.0,1,1
350000.0,128.0,3,4
460000.0,153.0,2,3
160000.0,50.0,1,1
270000.0,110.0,1,2
195000.0,100.0,1,2
320000.0,83.0,1,1
980000.0,480.0,1,4
395000.0,106.0,2,3
80000.0,85.0,1,2
950000.0,450.0,5,5
570000.0,110.0,0,2
350000.0,135.0,0,2
350000.0,139.0,2,2
780000.0,380.0,3,5
240000.0,116.0,1,2
290000.0,100.0,1,2
190000.0,115.0,1,2
1250000.0,500.0,3,5
320000.0,130.0,2,3
650000.0,500.0,4,4
217000.0,98.0,1,2
171000.0,68.0,1,1
470000.0,292.0,2,6
259000.0,120.0,2,2
200000.0,56.0,1,1
310000.0,114.0,2,2
159000.0,63.0,1,2
360000.0,140.0,1,3
600000.0,158.0,2,3
178000.0,75.0,1,2
420000.0,153.0,2,3
860000.0,400.0,3,3
1350000.0,434.0,3,5
495000.0,500.0,2,3
155000.0,105.0,2,3
100000.0,280.0,1,2
1990000.0,450.0,4,5
180000.0,236.0,1,2
275000.0,120.0,1,3
1600000.0,450.0,3,5
850000.0,450.0,4,7
125000.0,85.0,1,2
265000.0,97.0,1,2
335000.0,114.0,2,5
240000.0,95.0,1,2
380000.0,112.0,1,3
820000.0,500.0,4,4
750000.0,242.0,2,3
180000.0,100.0,1,3
730000.0,330.0,4,6
120000.0,49.0,1,1
630000.0,417.0,2,4
319000.0,120.0,1,2
152000.0,42.0,1,2
198000.0,100.0,2,3
155000.0,48.0,1,2
270000.0,130.0,1,2
165000.0,50.0,1,1
178000.0,85.0,1,2
159999.0,100.0,1,0
540000.0,158.0,2,3
240000.0,150.0,1,2
210000.0,182.0,1,3
250000.0,100.0,1,1
170000.0,100.0,1,3
890000.0,340.0,3,4
190000.0,56.0,1,1
235000.0,120.0,1,2
140000.0,65.0,1,2
105000.0,65.0,1,1
335000.0,108.0,1,2
270000.0,100.0,2,4
450000.0,355.0,2,4
170000.0,92.0,1,3
185000.0,92.0,1,3
115000.0,61.0,1,1
190000.0,134.0,2,4
1900000.0,502.0,4,5
695000.0,480.0,4,7
380000.0,441.0,3,5
380000.0,107.0,2,2
290000.0,69.0,1,1
285000.0,120.0,1,3
255000.0,102.5,1,2
350000.0,140.0,2,6
255000.0,140.0,2,5
570000.0,128.0,2,2
255000.0,104.0,1,2
1000000.0,350.0,7,9
178000.0,96.0,1,2
160000.0,107.0,2,3
340000.0,180.0,2,4
450000.0,341.0,2,5
375000.0,188.0,2,3
150000.0,121.0,1,3
380000.0,156.0,1,3
260000.0,400.0,1,3
165000.0,95.0,1,3
180000.0,102.0,1,2
235000.0,150.0,1,3
270000.0,160.0,1,3
315000.0,143.0,1,3
250000.0,170.0,3,6
120000.0,32.0,1,1
400000.0,110.0,2,3
420000.0,170.0,1,3
210000.0,54.0,1,1
150000.0,78.0,1,2
110000.0,50.0,50,1
190000.0,107.0,1,3
150000.0,60.0,1,1
310000.0,140.0,1,3
280000.0,83.0,1,2
830000.0,400.0,4,4
890000.0,500.0,4,4
1180000.0,446.0,4,4
106000.0,50.0,1,1
340000.0,116.0,2,2
85000.0,50.0,1,1
320000.0,180.0,2,5
250000.0,80.0,1,2
630000.0,107.0,1,2
255000.0,110.0,2,3
120000.0,65.0,1,2
390000.0,140.0,2,5
592000.0,170.69,2,2
265000.0,72.0,1,1
300000.0,103.0,1,2
780000.0,200.0,3,3
250000.0,190.0,1,3
600000.0,175.0,1,0
150000.0,65.0,1,1
260000.0,115.0,1,3
690000.0,300.0,2,6
430000.0,220.0,2,2
310000.0,180.0,2,4
470000.0,130.0,2,2
270000.0,200.0,2,7
350000.0,100.0,1,3
180000.0,170.0,1,4
420000.0,105.0,1,2
210000.0,110.0,1,2
270000.0,94.0,1,2
680000.0,307.0,3,3
135000.0,80.0,1,2
1300000.0,240.0,4,3
185000.0,73.0,1,2
1900000.0,598.0,2,8
350000.0,120.0,2,3
400000.0,150.0,1,0
245000.0,98.0,1,2
395000.0,161.0,2,2
235000.0,91.0,1,2
370000.0,147.0,3,3
435000.0,168.0,3,4
950000.0,580.0,3,7
430000.0,160.0,2,4
200000.0,57.0,1,1
265000.0,64.0,1,1
870000.0,260.0,4,4
600000.0,212.0,2,3
600000.0,160.0,3,4
160000.0,70.0,1,2
230000.0,117.0,2,2
178000.0,150.0,1,3
160000.0,100.0,1,2
270000.0,220.0,1,3
125000.0,60.0,1,1
1700000.0,465.0,5,5
435000.0,165.0,2,4
285000.0,100.0,1,3
228000.0,70.0,1,1
220000.0,145.0,1,3
325000.0,135.0,1,3
320000.0,83.0,1,1
720000.0,300.0,2,4
115000.0,110.0,1,2
240000.0,100.0,1,2
185000.0,152.0,1,2
850000.0,386.0,5,5
179998.0,100.0,1,0
110000.0,52.0,1,-2
370000.0,214.0,2,2
279998.0,116.0,1,2
165000.0,95.0,1,2
178000.0,150.0,1,3
300000.0,227.0,2,4
460000.0,136.0,2,3
89000.0,70.0,1,2
265000.0,65.0,1,1
100000.0,110.0,2,3
250000.0,72.0,1,1
800000.0,413.0,2,6
270000.0,70.0,1,1
210000.0,88.0,1,2
115000.0,63.0,1,2
169000.0,175.0,1,2
200000.0,75.0,2,2
460000.0,120.0,1,2
315000.0,130.0,2,2
350000.0,92.0,1,2
200000.0,140.0,1,2
376758.0,105.47,1,0
205000.0,127.0,1,3
150000.0,150.0,1,2
280000.0,331.0,1,3
201000.0,57.45,1,1
230000.0,160.0,1,2
1050000.0,400.0,3,4
170000.0,80.0,0,0
240000.0,150.0,1,2
310000.0,101.0,1,2
120000.0,240.0,1,2
95000.0,122.0,1,1
180000.0,110.0,1,2
290000.0,111.0,2,2
580000.0,230.0,2,2
130000.0,150.0,1,2
145000.0,64.0,1,2
170000.0,75.0,1,2
180000.0,100.0,1,2
150000.0,100.0,1,3
259000.0,230.0,1,4
530000.0,271.0,2,3
600000.0,385.0,2,5
280000.0,61.0,2,3
750000.0,500.0,2,4
130000.0,80.0,1,2
779998.0,400.0,2,2
390000.0,111.0,1,3
400000.0,120.0,1,3
175000.0,120.0,2,2
130000.0,65.0,1,3
320000.0,135.0,1,3
340000.0,116.0,1,2
270000.0,208.0,2,3
410000.0,109.0,1,2
245000.0,76.0,1,1
530000.0,141.0,0,3
1200000.0,400.0,0,4
1050000.0,400.0,0,4
260000.0,46.0,0,1
760000.0,185.0,0,3
510000.0,190.0,0,3
225000.0,120.0,1,3
750000.0,244.0,4,5
